제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,크롤링상태,보정필터_소스
PROP-195163,어린이보호구역내 교통사고 방지를 위한 교통시설물 변경설치 및 작업제한,어린이보호구역내 교통사고 방지를 위한 교통시설물 변경설치 및 작업제한,2023-10-04,2023,18.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195163,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"1.
현황
최근 어린이보호구역내 교통사고 증가로 인하여 교통사고 발생을 미연에 방지해야 할 필요성 대두
2.
개선방법
가
.
횡단보도의 설치변경
(
높이
)
을 통한 교통사고 예방
-
현재 어린이보호구역내 횡단보도의 경우 일반지역의 횡단보도와 똑같은 규격으로 설치되어 있음
이에 어린이보호구역내 특히 이면도로에 국한하여 횡단보도 설치를 변경 설치하여 교통사고를
미연에 방지
-
보통 차량의 경우 과속방지턱 앞에서는 서행을 할수밖에 없음
.
이를 착안하여 어린이보호구역내
횡단보도 설치시과속방지턱 기능을 추가시켜 도로면보도 높게 횡단보도를 설치 함
.
-
기존 과속방지턱
+
횡단보도
=
과속방지턱 높이로 횡단보도 설치
나
.
어린이보호구역 내 일부 구역
(
경사진 도로면
,
교통사고 위험이 상존하는 구역 등
)
화물 승하차
일시 금지조치
-
어린이보호구역내 아이들 틍하교 시간 등에 화물차의 화물 승하차를 일시 금지조치하여 어린이
교통사고를 미연에 방지
3.
기대효과
가
.
횡단보도를 과속방치턱처럼 높이 설치함으로써 차량의 일시정지를 유도 사전에 교통사고 방지
효과과 클것으로 판단됨
나
.
어린이보호구역 위험란 일부구역에 대해 등하교 시간등 일부시간 화물승하차를 금지함으로써
교통사고 미연에 방지
다
.
급변하는 교통환경에 적극적 행정으로 안전사고 사전예방",웹크롤링 성공,검증용137_웹본문포함
PROP-194958,용산가족공원 내 잔디 운동장 트랙부분 모래 깔아주세요,용산가족공원 내 잔디 운동장 트랙부분 모래 깔아주세요,2023-08-10,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194958,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 공원 + 가족,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"안녕하세요? 용산 가족 공원을 자주 산책하는 주민입니다.
요즘 건강을 위해 맨발걷기를 하는 사람들이 많아지고 있음을 봅니다. 저도 최근에 맨발 걷기를 시작했습니다. 다행이도 이곳에 걷기 적합한 흙으로된 트랙이 있음에 감사드리고 있습니다.
다만 왕모로가 좀더  두껍게 깔려 있으면 맨발로 걷기에 더 좋을 것 같다는 생각을 하곤 합니다. 추가로 더 왕모래를 깔아주시면 좋겠습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-194855,노인의 안전한 버스 승하차 아이디어 제안,노인의 안전한 버스 승하차 아이디어 제안,2023-07-24,2023,25.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194855,주거·교통·도시생활환경,임산부 이동권,임산부 교통배려,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"안녕하세요. 저희는 LG전자 ESG 대학생 아카데미 9기로 활동하고 있는 2조 '이심전심' 팀입니다.
저희는 LG전자를 통해 ESG 실무자 교육 및 멘토링을 받고 있으며, 직접 ESG 활동을 기획하고 실행하고 있습니다.
특히 7월 미션에서는 '다양한 사회/환경 이슈를 찾아보고 이를 해결할 수 있는 제품 및 기술 아이디어 제시'를 주제로 프로젝트를 진행하고 있습니다. 이에 노인 버스 승하차 시 넘어짐 사고 관련한 해결방안을 모색하였습니다.
결론적으로, 저희는 이동약자인 노인에 대한 사회적 배려 의식을 고취시키기 위해
버스 내 배려 안내 멘트 도입과 하차 알리미 시스템 설치
를 제안하고자 합니다.
먼저
버스 승차 시
, 카드를 태그하자마자 급 출발을 한다면 몸의 중심을 잃거나 넘어지는 위험에 노출되기 쉽습니다. 이러한 사고를 예방하기 위해
어르신들이 시니어패스(수도권 내 만 65세 이상 노인이라면 발급이 가능한 교통카드)를 태그하면 특정 배려 안내 멘트가 송출
되도록 합니다. 멘트 내용은 다음과 같습니다. ""잠깐! 할머니, 할아버지가 앉으실 때까지 기다려주세요"". 목적은 버스 기사분들께서 노인분들이 자리에 착석하실 때까지 음성이 길게 송출됨으로써 조금 더 기다리도록 유도하고자 합니다.
다음으로
버스 하차 시
, 버스 급정거로 인해 정차 전 미리 서 있으시다가 균형을 잃는 경우도 많습니다. 이러한 사고를 예방하기 위해 노약자석 근처 빨간 불의 하차벨 밑에
초록 불의 하차 알리미를 설치할 것을 제안
합니다. 목적은 승객에게 완전히 정차한 후 일어서야 한다는 신호를 주고, 하차하는데 걸리는 시간을 충분히 기다려준다는 인식을 심어주기 위함입니다. 원리를 설명드리자면, 빨간 불의 하차벨을 누른 후 버스가 완전히 정차하면, 운전사가 누르는 문 열림 버튼 옆 초록 불 송출 버튼이 눌립니다. 초록불 송신 버튼은 문 열림 버튼만 눌러도 송신버튼이 눌리도록 합니다. 버스 정차 후 뒷문이 열리는 타이밍에 초록 불이 켜지면서, 그 때 일어나서 하차해도 된다는 신호를 전달하고자 합니다.
자세한 내용은 첨부파일에 있으며, 긴 글 읽어주셔서 감사합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-194407,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,2023-04-26,2023,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194407,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 스쿨존 + 아동,제외필터링,일반 아동/학교/시설/안전 제안: 스쿨존 중심이며 출산·양육 직접 맥락 부족,"우리 아이들에게 예측할 수 없는
사고의 위험에 대비하여
실질적인
혜택을 체감할 수 있도록 운영효율
제고방안을 마련해 보았습니다",웹크롤링 성공,검증용137_웹본문포함
PROP-194379,"아이들이 안전하게 걸어 다닐 수 있는 서울을 만들어주세요.(음주운전, 길거리 흡연 관련)","아이들이 안전하게 걸어 다닐 수 있는 서울을 만들어주세요.(음주운전, 길거리 흡연 관련)",2023-04-24,2023,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194379,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,,하,제외,아동_안전환경: 흡연/안전 + 아이,제외필터링,일반 아동/학교/시설/안전 제안: 학교 중심이며 출산·양육 직접 맥락 부족,"안녕하세요,
대낫에 인도로 걷던 초등학생들이 음주운전 차량에 치여 사망하고, 평생 장애를 갖고 살아가야 하는 사고가 발생했습니다.
서울특별시는 자체 법안을 만들어 아이들이, 시민들이 안전하고 건강하게 살 수 있는 특별시가 되도록 해주십시오.
1. 음주운전 처벌 강화
음주운전 발생시 특별히 처벌을 강화 하여 주시기 바랍니다.
음주 단속 보단, 처벌이 더 강화 되길 서울시가 앞장서서 가중처벌 하여 주시기 바랍니다.
다른 시와 차별화된 안전한 서울이 되게 해주세요.
2. 길거리 흡연
마스크 착용이 해제되면서 길거리에서 담배 피는 사람이 너무 많습니다.
최근엔 바람도 많이 불어 멀리 서 까지 담배냄새가 날아 옵니다.
이제 아이들은 거리에서 매연뿐만 아니라, 담배연기까지 맡아야 합니다.
학교, 정류장, 지하철 등 금연 구역 지정은 효과가 미비합니다.
흡연 부스를 많이 설치해 주십시오.
흡연 부스를 경찰서 옆, 주민센터 옆 마다 추가 설치하여 주십시오.
흡연부스의 담배연기는 밖으로 나오지 않게 제발 만들어주십시오.
흡연부스 안에 자체 공기 정화기를 설치하고 거기에 발생하는 비용은 흡연자들이 부담하게 해주십시오.
흡연부스 이외 흡연시 벌금이 아닌 강력 처벌 하여 주세요.
서울시 랜드마크 건설도 좋지만, 앞으로 자라날 아이들이 건강하고 안전하게 자라 서울시의 (몸과 마음이) 건강한 사회 구성원으로 자라날 수 있도록 서울시가 앞장 서 주시기 바랍니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-193638,어린이 보호구역 알림 전광판,어린이 보호구역 알림 전광판,2022-12-01,2022,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193638,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"운전을 하다보면 자주 지나가는 도로가 아닌경우, 어린이 보호 구역인지 잘 모르거나 진입후 늦게 알게 될때가 종종 있는데,
어린이 보호구역에선 운전자가 정면에서 보일수 있게 LED전광판 같은 불빛으로 눈에 띄게 알려주었으면 좋겠습니다!!
특히 우회전시 횡단보고 근처에 우회전 신호등처럼 어린이보호 구역 알림표시를 불빛으로 하면 사고가 줄어들지 않을까 생갑됩니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-191811,아동을 위한 녹지 및 놀이시설 부족 문제와 해결방안,아동을 위한 녹지 및 놀이시설 부족 문제와 해결방안,2021-12-05,2021,16.0,3,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191811,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 시설 + 아동,제외필터링,일반 아동/학교/시설/안전 제안: 학교 중심이며 출산·양육 직접 맥락 부족,"제  안  서
안녕하십니까? 저희는 동대문구 소재 경희대학교에서 ‘세계와 시민’ 강의를 수강하고 있는 학생들입니다. 현재 ‘아동인권 감수성’을 주제로 프로젝트를 진행 중이며, 구체적으로
‘아동을 위한 지역 사회의 시설 개선’
을 내용으로 실천적인 활동을 진행하고 있습니다. ‘아동을 위한 놀이 시설 및 녹지 확보’와 관련하여 제안 드리고자 합니다.
Ⅰ. 문제 상황
경희대학교 인근의 <회기 힐스테이트>는 직접 방문하여, 주변의 다른 아파트들은 인터넷 지도 서비스를 이용하여 답사한 결과, 다음과 같은 공통된 문제점을 확인할 수 있었습니다.
1. 놀이터 및 녹지 면적의 협소함
첨부한 [사진]에서 볼 수 있듯이 아파트의 규모와 세대 수에 비해 어린이를 위한 놀이 공간의 규모가 현저히 협소하다는 것을 알 수 있습니다. 더불어 놀이터의 위치가 섬 형태로 서로 분산되어 있고, 아파트 단지가 주변 도로와 연립주택 및 점포로 둘러싸여 있어서 실질적으로 아파트에 거주하는 아동이 이용할 수 있는 놀이 시설은 가장 가까운 놀이터 한두 곳에 불과하다는 것을 알 수 있습니다. 충분한 녹지 공간 및 야외 놀이공간 확보는 아동의 성장과 발달에 있어 매우 중요하므로 개선이 필요합니다.
2. 식수대, 화장실 등 시설 부족
식수대 및 화장실 등은 아동이 야외활동을 하기 위해 부가적으로 필요한 시설이지만, 조사한 아파트 대부분이 이러한 시설을 갖추고 있지 않았습니다. 특히 식수대는 여름철 아동의 야외활동 과정에서 필요적으로 갖추어야 할 시설이므로 개선이 필요합니다.
Ⅱ. 제안 내용
저희는 위와 같은 문제의 원인이 아파트 건설을 위한 사업시행자 및 건설사의 아동을 위한 시설 마련의 유인이 없다는 것에 있다고 보고, 다음과 같은 행정적 제재가 필요하다고 보았습니다. 즉, 토지형질변경 또는 건축허가 등 아파트 건설사업을 위해 필요한 행정청의 수익적 행정처분에 관련 부관을 붙이는 행정규제가 이루어져야 합니다. 형질변경 및 건축허가 과정에서 아동을 위한 일정면적 이상의 녹지 및 놀이 시설을 확보할 것과, 각종 편의 시설을 제공할 것을 ‘부담’ 또는 ‘조건’의 형식으로 부관에 붙여 건설 과정에서 상기한 시설이 확보될 수 있도록 행정처분 기준을 신설 또는 수정해주실 것을 제안합니다.
서울의 신규 아파트는 대부분 재개발 사업으로 이루어지고 있다는 점, 아파트 사업시행자는 서울의 높은 인구 밀도로 인해 높은 용적률을 확보하기 위한 압력을 받고 있다는 점 등을 고려하였을 때, 위와 같은 행정적 규제가 아동을 위한 시설 마련이라는 목적을 달성하는데 효과적이고도 최소한의 침해를 가져오는 것이라는 분석 하에 위와 같이 제안 드립니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-191780,어린이보호구역에서 전동킥보드 속도 제한 의무화,어린이보호구역에서 전동킥보드 속도 제한 의무화,2021-12-01,2021,11.0,8,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191780,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역, 스쿨존 중심이며 출산·양육 직접 맥락 부족","안녕하세요
.
저희는 서울여자대학교에서 바롬인성교육
III
을 수강하고 있는
‘
전동킥보드 안전하게 타조
’
입니다
.
저희는 한 학기동안 전동킥보드 안전 라이딩을 위한 다양한 활동을 수행하고 있습니다
.
올해
5
월
13
일 이후 개정된 도로 교통법이 시행되면서 전동킥보드 관련 문제들이 조금씩 해결되고 있습니다
.
하지만 저희가 조사해 본 결과 어린이 보호 구역과 관련된 전동킥보드 법안이 많이 부족하다는 점을 알게 되었습니다
.
스쿨존에서 규정 속도 등의 안전 의무를 위반하다 사고를 낸 운전자는 가중 처벌을 받게 하는 민식이법이 전동킥보드 이용자들에게도 똑같이 적용된다는 점을 제외하고는 사고를 철저히 예방할 수 있도록 하는 시스템이 전혀 마련되어 있지 않습니다
.
그래서 저희는 어린이 보호 구역에서 전동킥보드의 속도 제한을 의무화하는 것을 제안합니다
.
이때 단순히 이용자들의 속도 조절뿐만 아니라
,
공유전동킥보드 업체가 어린이 보호 구역에서는 전동킥보드의 속도가 자동 감속되도록 보행자들을 위한 안전 서비스를 구축해야한다고 생각합니다
.
한 공유전동킥보드 업체의 경우 어린이보호구역 사고를 예방하기 위하여 전동킥보드가 어린이 보호구역으로 진입하는 경우
,
시속
10km
이내로 자동 감속되도록 설정됩니다
.
고객이 킥보드를 타고 어린이 보호구역에 진입하는 경우 킥보드의
GPS(
지리정보시스템
)
가 진입을 확인하고
,
속도를 제한하는 방식입니다
.
세종시의 공유 전동킥보드는 최대 속도가 시속
20km
로 제한되며 어린이 보호구역으로 들어가면 자동으로 속도가 시속
10
㎞
이내로 줄어듭니다
.
또한
“
여기는 어린이 보호구역입니다
”
라는 안내방송이 나옵니다
.
세종시 관계자는 어린이보호구역에서 사고를 예방하기 위해 전동킥보드 속도를 조절하는 기능을 갖췄다며 전동킥보드가
GPS
를 통해 어린이보호구역을 인식해 자동으로 속도를 줄인다고 했습니다
.
이처럼 어린이 보호구역에서 전동킥보드 속도가 제한되도록 할 뿐만 아니라 전동킥보드가 어린이보호구역에 진입하면 자동으로 시속
10km
이내로 줄어들도록 하는 등의 시스템을 구축할 수 있도록 법안이 마련되어야 합니다
.
앞으로 안전한 전동킥보드 문화를 위해
,
시민 안전을 위해 정부와 전동킥보드 업체는 더욱 노력하는 것이 필요합니다
.
감사합니다
.",웹크롤링 성공,검증용137_웹본문포함
PROP-191498,어린이 보호구역 주정차 금지,어린이 보호구역 주정차 금지,2021-10-21,2021,5.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191498,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이 보호구역 내 주정차 전면금지법에 대해서 매우 공감합니다.
하지만 저는 미국에서 10여년 넘게 생활하다 귀국해 보니 한국에서의 좋은점과 선진국과 비교해 볼 때 아직 미흡한 점들이 잘 발견되곤 합니다.
이시행령에 대해서도 미흡한점을 발견했는데 드랍과픽업을 할 수 있는 죤을 만든다면 좋겠다는 생각이 듭니다.
오늘 시행 첫날인데도 뉴스를 보니 필요성을 느끼는많은 분들이 있음도 보았습니다.
꼭 시정될 수 있기를 기대해 봅니다",웹크롤링 성공,검증용137_웹본문포함
PROP-191088,독립문 공원 건너편 &#34;독립운동가 가족을 생각하는 작은집&#34;  조적벽돌 교체해야 합니다.,독립문 공원 건너편 &#34;독립운동가 가족을 생각하는 작은집&#34;  조적벽돌 교체해야 합니다.,2021-08-24,2021,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191088,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 공원 + 가족,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"독립문 공원 길 건너편에 있는 ""독립운동가 가족을 생각하는 작은집"" 에 사용된 벽돌을 교체 해야 합니다.
그 취지는 매우 고맙고 환영 할 일이지만
이 구조물이 언제 완성 되었는지는 모르겠으나 우리나라에도 용도에 적합한 벽돌이 흔한데 무슨 이유 인지는 모르나
중국벽돌로 조적 되어 있고 이보다 더 한심한 일은 중국 폐건물에서 나온 재생 벽돌을 사용하여 조적 되어 있습니다.
간혹 일반 건축물에서 멋스럽다는 이유로 폐벽돌을 사용 하기는 하나
어찌 ""독립운동가 가족을 생각하는 작은집""을 이런 폐벽돌을 사용 했는지
조속히 철거후 국내에서 용도에 맞는 벽돌로 교체 해야 합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-190802,"서울시 청년 비제조/비영리 스타트업 지원 아이디어(장기 공간 대여, 전월세 주거 지원, 상품 유통 홍보)","서울시 청년 비제조/비영리 스타트업 지원 아이디어(장기 공간 대여, 전월세 주거 지원, 상품 유통 홍보)",2021-07-19,2021,11.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190802,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,,하,제외,공간·편의시설: 공간 + 아이,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"제조업 분야 스타트업 지원에 비해 상대적으로 지원 규모가 작은 비제조/비영리 스타트업 청년 지원 방안과 관련해 제안합니다.
제안 내용 1) 스타트업을 위한 장기 공간 제공
초기 자본이 부족한 스타트업에서 중요한 것 중 하나가 고정적 지출비를 줄이는 것입니다. 그 중에서도 공간 임대료가 차지하는 비율이 매우 큽니다. 민간과 정부에서 지원하는 공간 임대 사업들이 많지만 대부분 단기(6개월 미만 등)입니다. 장기로 사무실을 제공할 경우는 제조업이나 AI와 같은 특정 분야 사업에 한해서만 공간 임대를 장기적으로 해주고 있습니다. 특히, AI 기업의 경우 무료/저렴한 공간 임대를 장기간 (5년) 제공받아 안정적으로 성장할 수 있는 기반이 마련되기도 합니다. 이러한 정책을 특정 분야에 한정하지 말고, 다양한 분야의 스타트업 (비제조/비영리)에게 문을 열어서, 청년들이 도전하고 지속할 수 있는 발판을 마련해주면 좋겠습니다. 특히, 시에서 지원하는 사업들이 단기 공간 임대 사업이 너무 많은데, 중장기 공간 지원책을 마련해주시면 도전하는 청년들에게 큰 도움이 될 것 같습니다.
제안 내용 2)
비영리/비제조 분야 스타트업 청년 종사자를 위한 전/월세 등 주거 지원
청년들을 지원하는 여러 주거 정책들이 나오고 있지만, 이러한 정책들은 항상 여러 조건이 붙습니다. 중소기업에서 일하는 청년들을 위한 정책은 있지만, 아직 수익이 발생하지 않는 초창기 스타트업을 운영하거나, 창업 멤버로 일하는 청년들은 자격 조건이 안되어 받지 못하는 지원들이 많습니다. 청년들을 위한 지원책에서 근로 형태에 대한 자격 요건을 완화하거나, 창업을 하는 청년들이 자격 조건이 인정받을 수 있도록 개정하여, 초기 창업에 도전하는 청년들이 주거 지원 혜택에서 소외되지 않았으면 좋겠습니다.
제안 내용 3) 스타트업 상품 유통/홍보 구축
제조업 스타트업의 경우 정부나 민간에서 상품을 유통하고 판매하고 자금을 지원받을 수 있는 많은 통로가 있습니다. 하지만 미디어 스타트업, 비영리 스타트업 등 비제조업 분야 스타트업은 자신들의 “상품”을 전시하고 홍보하여 소비자(독자)를 만날 수 있는 수단이 매우 적습니다. 비제조업 분야의 스타트업을 위한 다양한 형태의 상품들이 소개되고 판매될 수 있는 크라우드 펀딩이나 판촉/홍보 방법을 마련해준다면, 다양한 분야의 스타트업들이 더 많은 고객들에게 다가갈 수 있을 것같습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-190761,아이들 안전한 등하교길을 만들어주세요,아이들 안전한 등하교길을 만들어주세요,2021-07-15,2021,12.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190761,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 통학로 중심이며 출산·양육 직접 맥락 부족","안녕하세요 저는 두아이를 둔 아이엄마입니다. 이곳은 성산동 성산 이편한세상 2차 앞이에요
보시다시피 우리 아이들은 이길을 지나야 학교에 갈수 있는데요 양쪽으로 주차되어 있는 차량 멀리보이는 아파트 담벼락 아래로 불법 주차되어있는 차량으로 인해 이편한세상1.2차에 사는 아이들의 통학로가 매일 막혀있습니다
차량때문에 더 아이들과 사람들이 걸을수가 없는 상태구요 매번 주차단속을 벌인다 하더라도 한계가 있습니다. 구청민원실에서는 길이 좁아 인도설치가 힘들다는 답변 받았구요. 하지만 차도 양방향 못지나가는 도로인데 굳이 양방향 통행을 할필요가 있을까요?
1. 일방통행으로 한쪽에는 인도설치를 부탁드립니다.
2. 아이들 걸을수 있게 50센치 폭이라도 울타리만이라도 설치좀 해주세요
3. 이거저거 다 안되면 cctv하나 없는 골목길 입니다. 주정차 단속cctv달아서 절대 불법주차가 없도록 해주세요
정말 부탁드립니다",웹크롤링 성공,검증용137_웹본문포함
PROP-188850,어린이보호구역에 깃발을 설치해주세요,어린이보호구역에 깃발을 설치해주세요,2020-11-17,2020,31.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188850,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족",어린이보호구역내 횡단보도(신호등없는)에 노란 깃발을 설치해 주세요 아이들이 들고 있으면 차가 멈출수 있게요. 요즘 교통사고 나는거 보면 무섭습니다. 아이가 혼자 횡단보도 건너려 해도 차들이 멈춰주지 않아요  양쪽에서 오는 차들이 다 서거나 안 올때까지 하염없이 기다립니다 그러다 혹시 아이들이 급하게 가야 할 때면 어떻게 될까요? 서두르다 사고가 날수도 있죠 학교에서 모든 아이들에게 나눠주던지 아니면 신호등없는 횡단보도 마다 설치를 해주던지 했으면 좋겠어요,웹크롤링 성공,검증용137_웹본문포함
PROP-188744,[생활 속 안전사고 거리두기] 스마트 세이프 커뮤니케이션(안전소통) 서비스 아이디어 제안,[생활 속 안전사고 거리두기] 스마트 세이프 커뮤니케이션(안전소통) 서비스 아이디어 제안,2020-11-03,2020,74.0,17,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188744,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,일반 아동/학교/시설/안전 제안: 청소년 중심이며 출산·양육 직접 맥락 부족,"퍼스널 모빌리티는 전통적으로
레저와 여가취미
생활에 이용되었고
최근
퍼스트-라스트마일 모빌리티
로 관심을 받고 있습니다.
더욱이 코로나19로 인한 언택트운동 확산에 따라
대중교통의 안전 대체 수단
으로 부상하고 있으며
금년 도로교통법 개정으로
이용기준이 완화
되는 등 시장 성장에 더욱 탄력을 받고 있는 상황입니다.
이런 성장과 함께 퍼스널모빌리티의 안전사고는 사회적인 문제가 되고 있으며
다양한 퍼스널 모빌리티의 등장과 사용증가로 인해
도심사고가 급증
하고 있고
사고율은 매년 2배 이상으로 급증하는 등 사회적 문제로 대두되고 있습니다.
또한 도로교통법개정에 따른 이용기준완화로
청소년의 안전에 심각한 우려
가 예상됩니다.
더욱이 서울시 자전거 하이웨이 구축 등의
인프라 확충과 함께
따릉이 자전거 자체의
소통 장치 개선
을 통한 이용자 안전을 위한
새로운 아이디어가 적용되었으면 합니다.
이에
사고율이 높은 야간 시간의 사고 예방 소통장치를 적용
하였으면 합니다.
제품의 개발 컨셉은
[시야 확보가 어려운 야간 시간에]
- 퍼스널모빌리티의 구조적 한계를 극복하고 시인성 극대화를 통한 주시력을 향상시키고
- 전,후,좌,우에서 운행 정보를 인지할 수 있어 다양한 충돌의 예방에 모두 대응이 가능하고
- 다양한 정보를 통해 단방향(단순시그널)이 아닌 양방향 소통이 가능한 장치를 개발하게 되었습니다.
해당 아이디어는 공기업 사내벤처로 지원을 받아 시제품개발을 완료하였으며
서울시 따릉이와 함께 기술과 서비스를 고도화, 상품화
하여
서울시민은 물론
국민의 안전에 기여
하고 싶습니다.
[제안내용서]
첨부파일
[아이디어 적용 홍보 영상]
https://youtu.be/fOxXDibN9Oo",웹크롤링 성공,검증용137_웹본문포함
PROP-188272,각 주민센터마다 아이스팩을 재활용할 수 있는 시스템을 만들어주세요,각 주민센터마다 아이스팩을 재활용할 수 있는 시스템을 만들어주세요,2020-08-24,2020,10.0,0,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188272,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 주민센터 + 아이,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"비대면으로 인하여 택배물량이 많아지면서 아이스팩 사용량도 늘어나고 있습니다.
집에 쌓여가는 아이스팩을 일반쓰레기로 버리기에 환경에 심각한 문제가 있지 않을까 싶습니다.
각 주민센터마다 아이스팩 수거를 하여 개수를 정하여 휴지나 종량제봉투로 바꾸어주는 사업을 하면 좋을것 같습니다.
아이스팩을 필요로 하는 사업자들에게는 나누어주어 아이스팩을 효율적을 사용했으면 합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-187657,어린이보호구역,어린이보호구역,2020-06-12,2020,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187657,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이보호구역내 교통사고가 계속 일어나고있습니다
제 개인적인생각으로 어린이보호구역 내  도로를 반경300m 이내
어린보호구역자체를 전부 과속방지턱으로 했으면 하는생각입니다
우선 방지턱간격을 5m 내외로 해놓으면 차들이 제대로 달리지를 못하니
과속우려가거의 없을꺼구요사고가나더라도경미한사고로 이어질수잇다고 생각합니다
제 의견이 반영될지는모르겠지만 개인적인생각 적어봅니다.",웹크롤링 성공,검증용137_웹본문포함
